instance_id,label,volume_m3,rate_per_m3,handling_multiplier,min_charge,line_subtotal,currency,note
0,pillow,0.3883,18000,1.00,5000,6989,KRW,
1,window,0.1599,0,0.00,0,0,KRW,excluded (non-movable)
2,window,0.3288,0,0.00,0,0,KRW,excluded (non-movable)
3,window,0.1993,0,0.00,0,0,KRW,excluded (non-movable)
4,bed,8.1867,38000,1.10,45000,342202,KRW,
5,suitcase,0.1238,15000,1.00,0,1857,KRW,rate from 'default'
6,shelf,0.3775,32000,1.05,30000,30000,KRW,
7,door,0.1571,0,0.00,0,0,KRW,excluded (non-movable)
8,pillow,1.3561,18000,1.00,5000,24411,KRW,
9,blanket,1.5333,15000,1.00,0,22999,KRW,rate from 'default'
10,pillow,0.0149,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
11,basket,0.0536,15000,1.00,0,804,KRW,rate from 'default'
12,lamp,0.0785,50000,1.20,15000,15000,KRW,
13,pillow,0.3865,18000,1.00,5000,6956,KRW,
0,bed,5.5809,38000,1.10,45000,233284,KRW,
1,blanket,1.0386,15000,1.00,0,15579,KRW,rate from 'default'
2,clothes,0.4594,15000,1.00,0,6891,KRW,rate from 'default'
3,pillow,0.0729,18000,1.00,5000,5000,KRW,
4,box,0.0144,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
0,ceiling,2.4998,0,0.00,0,0,KRW,excluded (non-movable)
1,window,0.2331,0,0.00,0,0,KRW,excluded (non-movable)
2,picture,0.0063,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
3,cabinet,2.3995,36000,1.10,40000,95019,KRW,
4,book,0.0203,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
5,cabinet,1.4694,36000,1.10,40000,58190,KRW,
6,counter,2.1806,15000,1.00,0,32709,KRW,rate from 'default'
7,bookshelf,0.1181,36000,1.10,40000,40000,KRW,
8,cabinet,0.5220,36000,1.10,40000,40000,KRW,
9,ceiling light,0.0417,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
10,cabinet,4.4432,36000,1.10,40000,175952,KRW,
11,table,1.5038,40000,1.05,35000,63160,KRW,
12,shelf,1.3086,32000,1.05,30000,43970,KRW,
13,object,0.0247,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
14,whiteboard,2.4118,15000,1.00,0,36177,KRW,rate from 'default'
0,picture,0.0404,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
1,pillow,0.0280,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
2,bed,1.6373,38000,1.10,45000,68440,KRW,
