instance_id,label,volume_m3,rate_per_m3,handling_multiplier,min_charge,line_subtotal,currency,note
0,ceiling,1.4908,0,0.00,0,0,KRW,excluded (non-movable)
1,cabinet,1.2507,36000,1.10,40000,49530,KRW,
2,window,0.1519,0,0.00,0,0,KRW,excluded (non-movable)
3,cabinet,0.4885,36000,1.10,40000,40000,KRW,
4,sink,0.0464,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
5,microwave,0.1171,55000,1.10,20000,20000,KRW,
6,bed,6.5221,38000,1.10,45000,272622,KRW,
7,mini fridge,0.1630,15000,1.00,0,2444,KRW,rate from 'default'
8,cabinet,1.0525,36000,1.10,40000,41677,KRW,
9,desk,1.3594,40000,1.05,35000,57096,KRW,
10,clothes,0.1686,15000,1.00,0,2528,KRW,rate from 'default'
11,ceiling,0.0173,0,0.00,0,0,KRW,excluded (non-movable)
12,ceiling light,0.0251,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
13,plate,0.0025,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
14,monitor,0.2321,60000,1.25,18000,18000,KRW,
15,counter,4.1481,15000,1.00,0,62221,KRW,rate from 'default'
16,cabinet,0.9178,36000,1.10,40000,40000,KRW,
0,box,0.0529,25000,1.00,8000,8000,KRW,
1,shelf,3.5285,32000,1.05,30000,118557,KRW,
2,shelf,1.2965,32000,1.05,30000,43563,KRW,
3,shelf,1.4366,32000,1.05,30000,48270,KRW,
4,sink,0.0550,15000,1.00,0,825,KRW,rate from 'default'
5,trash can,0.0339,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
0,book,0.0790,15000,1.00,0,1185,KRW,rate from 'default'
1,bookshelf,0.7034,36000,1.10,40000,40000,KRW,
2,book,0.0383,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
3,book,0.0828,15000,1.00,0,1242,KRW,rate from 'default'
4,book,0.0527,15000,1.00,0,791,KRW,rate from 'default'
5,book,0.0574,15000,1.00,0,861,KRW,rate from 'default'
6,book,0.0618,15000,1.00,0,927,KRW,rate from 'default'
7,book,0.0333,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
0,radiator,0.0165,0,0.00,0,0,KRW,excluded (non-movable)
1,shelf,0.0602,32000,1.05,30000,30000,KRW,
2,curtain,0.2217,18000,1.00,8000,8000,KRW,
3,ceiling,13.2661,0,0.00,0,0,KRW,excluded (non-movable)
4,curtain,0.7846,18000,1.00,8000,14122,KRW,
5,bed,3.7546,38000,1.10,45000,156943,KRW,
6,window,0.3398,0,0.00,0,0,KRW,excluded (non-movable)
7,radiator,0.1837,0,0.00,0,0,KRW,excluded (non-movable)
0,door,0.1078,0,0.00,0,0,KRW,excluded (non-movable)
1,door,0.9493,0,0.00,0,0,KRW,excluded (non-movable)
2,stairs,0.4174,0,0.00,0,0,KRW,excluded (non-movable)
3,doorframe,1.2805,0,0.00,0,0,KRW,excluded (non-movable)
4,stairs,0.5300,0,0.00,0,0,KRW,excluded (non-movable)
5,ceiling,6.2619,0,0.00,0,0,KRW,excluded (non-movable)
6,stairs,0.2864,0,0.00,0,0,KRW,excluded (non-movable)
7,curtain,2.3635,18000,1.00,8000,42543,KRW,
8,picture,0.1191,50000,1.40,10000,10000,KRW,
0,cabinet,0.2154,36000,1.10,40000,40000,KRW,
1,door,0.1101,0,0.00,0,0,KRW,excluded (non-movable)
2,doorframe,0.0263,0,0.00,0,0,KRW,excluded (non-movable)
3,door,0.4721,0,0.00,0,0,KRW,excluded (non-movable)
0,couch,5.3702,42000,1.15,55000,259381,KRW,
1,ceiling,3.7294,0,0.00,0,0,KRW,excluded (non-movable)
2,shelf,1.4863,32000,1.05,30000,49941,KRW,
3,pillow,0.0814,18000,1.00,5000,5000,KRW,
4,couch,1.7935,42000,1.15,55000,86628,KRW,
5,person,0.1318,15000,1.00,0,1977,KRW,rate from 'default'
0,cabinet,0.2261,36000,1.10,40000,40000,KRW,
1,box,0.1211,25000,1.00,8000,8000,KRW,
2,door,0.5994,0,0.00,0,0,KRW,excluded (non-movable)
3,door,0.4696,0,0.00,0,0,KRW,excluded (non-movable)
4,door,1.4771,0,0.00,0,0,KRW,excluded (non-movable)
5,box,0.0097,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
6,door,0.1836,0,0.00,0,0,KRW,excluded (non-movable)
7,board,0.0342,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
0,tv,0.1874,60000,1.30,35000,35000,KRW,
1,tv stand,0.5549,15000,1.00,0,8323,KRW,rate from 'default'
2,ceiling,23.2756,0,0.00,0,0,KRW,excluded (non-movable)
3,shelf,2.8146,32000,1.05,30000,94570,KRW,
4,pillow,0.0508,18000,1.00,5000,5000,KRW,
5,ball,0.1590,15000,1.00,0,2385,KRW,rate from 'default'
6,pillow,0.0230,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
7,lamp,0.0310,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
8,shelf,0.7340,32000,1.05,30000,30000,KRW,
9,table,0.5185,40000,1.05,35000,35000,KRW,
10,couch,3.4954,42000,1.15,55000,168826,KRW,
0,ceiling,0.1801,0,0.00,0,0,KRW,excluded (non-movable)
