instance_id,label,volume_m3,rate_per_m3,handling_multiplier,min_charge,line_subtotal,currency,note
0,tv,0.0866,60000,1.30,35000,35000,KRW,
1,ledge,0.5241,15000,1.00,0,7862,KRW,rate from 'default'
0,monitor,0.0384,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
1,monitor,0.0789,60000,1.25,18000,18000,KRW,
2,book,0.0613,15000,1.00,0,919,KRW,rate from 'default'
3,cabinet,2.4360,36000,1.10,40000,96465,KRW,
4,file cabinet,0.5364,15000,1.00,0,8046,KRW,rate from 'default'
0,bookshelf,0.8193,36000,1.10,40000,40000,KRW,
1,curtain,0.2977,18000,1.00,8000,8000,KRW,
2,door,1.2631,0,0.00,0,0,KRW,excluded (non-movable)
3,shelf,0.6417,32000,1.05,30000,30000,KRW,
0,curtain,0.2196,18000,1.00,8000,8000,KRW,
1,ceiling,0.0847,0,0.00,0,0,KRW,excluded (non-movable)
2,window,0.3569,0,0.00,0,0,KRW,excluded (non-movable)
3,bed,5.5115,38000,1.10,45000,230382,KRW,
4,cabinet,0.6121,36000,1.10,40000,40000,KRW,
5,tv,0.0688,60000,1.30,35000,35000,KRW,
6,book,0.0650,15000,1.00,0,975,KRW,rate from 'default'
7,mat,0.0133,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
0,pillow,0.0102,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
1,pillow,0.0324,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
2,pillow,0.0725,18000,1.00,5000,5000,KRW,
3,couch,1.5682,42000,1.15,55000,75744,KRW,
4,lamp,0.0343,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
0,curtain,0.1754,18000,1.00,8000,8000,KRW,
1,pillow,0.1048,18000,1.00,5000,5000,KRW,
2,bed,2.0920,38000,1.10,45000,87446,KRW,
3,nightstand,0.2988,15000,1.00,0,4482,KRW,rate from 'default'
4,window,0.0290,0,0.00,0,0,KRW,excluded (non-movable)
0,door,0.0569,0,0.00,0,0,KRW,excluded (non-movable)
0,door,0.0900,0,0.00,0,0,KRW,excluded (non-movable)
1,doorframe,0.1381,0,0.00,0,0,KRW,excluded (non-movable)
2,door,0.4534,0,0.00,0,0,KRW,excluded (non-movable)
3,ceiling,5.1605,0,0.00,0,0,KRW,excluded (non-movable)
4,doorframe,0.2395,0,0.00,0,0,KRW,excluded (non-movable)
5,bag,0.0163,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
6,doorframe,0.4880,0,0.00,0,0,KRW,excluded (non-movable)
7,ceiling,1.7508,0,0.00,0,0,KRW,excluded (non-movable)
0,door,0.2855,0,0.00,0,0,KRW,excluded (non-movable)
1,cabinet,0.3214,36000,1.10,40000,40000,KRW,
