instance_id,label,volume_m3,rate_per_m3,handling_multiplier,min_charge,line_subtotal,currency,note
0,ceiling,13.8137,0,0.00,0,0,KRW,excluded (non-movable)
1,pillow,0.0633,18000,1.00,5000,5000,KRW,
2,ceiling light,0.0364,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
3,window,0.3703,0,0.00,0,0,KRW,excluded (non-movable)
4,bed,3.2515,38000,1.10,45000,135915,KRW,
5,bed,2.6623,38000,1.10,45000,111285,KRW,
6,stairs,1.3733,0,0.00,0,0,KRW,excluded (non-movable)
0,ceiling,0.2814,0,0.00,0,0,KRW,excluded (non-movable)
1,shoe,0.0049,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
2,ceiling light,0.0023,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
3,shoe,0.0136,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
4,doorframe,0.4392,0,0.00,0,0,KRW,excluded (non-movable)
5,box,0.3638,25000,1.00,8000,9096,KRW,
6,ceiling,0.0109,0,0.00,0,0,KRW,excluded (non-movable)
7,object,0.0384,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
8,object,0.0509,15000,1.00,0,763,KRW,rate from 'default'
9,door,1.6694,0,0.00,0,0,KRW,excluded (non-movable)
0,ceiling,0.1610,0,0.00,0,0,KRW,excluded (non-movable)
1,pillow,0.0178,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
2,doorframe,0.2087,0,0.00,0,0,KRW,excluded (non-movable)
3,bed,0.6284,38000,1.10,45000,45000,KRW,
4,shelf,0.7977,32000,1.05,30000,30000,KRW,
5,stairs,0.1228,0,0.00,0,0,KRW,excluded (non-movable)
6,box,0.0808,25000,1.00,8000,8000,KRW,
7,object,0.0071,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
8,clothes,0.0361,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
9,object,0.0225,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
0,ceiling,0.6222,0,0.00,0,0,KRW,excluded (non-movable)
1,bed,2.8996,38000,1.10,45000,121203,KRW,
2,pillow,0.0160,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
3,doorframe,0.3367,0,0.00,0,0,KRW,excluded (non-movable)
4,tv,0.1785,60000,1.30,35000,35000,KRW,
5,door,0.0872,0,0.00,0,0,KRW,excluded (non-movable)
6,shelf,0.1065,32000,1.05,30000,30000,KRW,
7,ceiling light,0.0147,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
8,blanket,0.2198,15000,1.00,0,3297,KRW,rate from 'default'
0,stairs,4.3391,0,0.00,0,0,KRW,excluded (non-movable)
0,shelf,0.5226,32000,1.05,30000,30000,KRW,
1,shelf,0.1625,32000,1.05,30000,30000,KRW,
0,picture,0.0197,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
1,ceiling,0.1347,0,0.00,0,0,KRW,excluded (non-movable)
2,picture,0.0164,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
0,ceiling,0.2130,0,0.00,0,0,KRW,excluded (non-movable)
1,clothes,0.1677,15000,1.00,0,2516,KRW,rate from 'default'
2,clothes,0.3474,15000,1.00,0,5211,KRW,rate from 'default'
3,ceiling light,0.0070,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
4,clothes,0.6350,15000,1.00,0,9525,KRW,rate from 'default'
5,radiator,0.0538,0,0.00,0,0,KRW,excluded (non-movable)
0,ceiling,0.1033,0,0.00,0,0,KRW,excluded (non-movable)
1,picture,0.0305,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
2,curtain,0.2878,18000,1.00,8000,8000,KRW,
3,stairs,0.8945,0,0.00,0,0,KRW,excluded (non-movable)
4,bookshelf,1.1871,36000,1.10,40000,47010,KRW,
5,book,0.1414,15000,1.00,0,2120,KRW,rate from 'default'
6,radiator,0.0042,0,0.00,0,0,KRW,excluded (non-movable)
0,ceiling,0.1739,0,0.00,0,0,KRW,excluded (non-movable)
1,clothes,0.2207,15000,1.00,0,3311,KRW,rate from 'default'
2,clothes,0.1053,15000,1.00,0,1579,KRW,rate from 'default'
3,curtain,1.0088,18000,1.00,8000,18159,KRW,
4,bag,0.0115,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
5,clothes,0.2238,15000,1.00,0,3357,KRW,rate from 'default'

,total_volume_m3,16.6083,,,,,,non-movable items excluded
,items_subtotal,,,,,695347,KRW,
,base_labor_fee,,,,,0,KRW,
,pre_vat,,,,,695347,KRW,
,VAT,,,,,69535,KRW,
,TOTAL,,,,,764882,KRW,
