instance_id,label,volume_m3,rate_per_m3,handling_multiplier,min_charge,line_subtotal,currency,note
0,shelf,0.2089,32000,1.05,30000,30000,KRW,
1,trash can,0.1032,15000,1.00,0,1549,KRW,rate from 'default'
0,pillow,0.0319,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
1,couch,5.7441,42000,1.15,55000,277441,KRW,
2,curtain,0.3995,18000,1.00,8000,8000,KRW,
3,curtain,0.6250,18000,1.00,8000,11249,KRW,
4,pillow,0.1655,18000,1.00,5000,5000,KRW,
5,blanket,0.4188,15000,1.00,0,6282,KRW,rate from 'default'
6,curtain,1.4896,18000,1.00,8000,26813,KRW,
7,pillow,0.1354,18000,1.00,5000,5000,KRW,
0,door,0.0132,0,0.00,0,0,KRW,excluded (non-movable)
1,ceiling,0.0027,0,0.00,0,0,KRW,excluded (non-movable)
2,doorframe,0.0345,0,0.00,0,0,KRW,excluded (non-movable)
3,shelf,0.2612,32000,1.05,30000,30000,KRW,
0,door,0.0437,0,0.00,0,0,KRW,excluded (non-movable)
1,cabinet,0.0838,36000,1.10,40000,40000,KRW,
2,shelf,0.2148,32000,1.05,30000,30000,KRW,
3,cabinet,0.1006,36000,1.10,40000,40000,KRW,
4,bag,0.0022,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
5,pillow,0.1499,18000,1.00,5000,5000,KRW,
6,clothes,0.1278,15000,1.00,0,1917,KRW,rate from 'default'
7,doorframe,0.0366,0,0.00,0,0,KRW,excluded (non-movable)
8,book,0.0148,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
9,rack,0.0316,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
0,shelf,0.6864,32000,1.05,30000,30000,KRW,
1,counter,1.1792,15000,1.00,0,17687,KRW,rate from 'default'
0,book,0.0690,15000,1.00,0,1035,KRW,rate from 'default'
1,sign,0.0317,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
2,bookshelf,0.4023,36000,1.10,40000,40000,KRW,
0,book,0.0893,15000,1.00,0,1340,KRW,rate from 'default'
1,sign,0.0127,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
2,book,0.0502,15000,1.00,0,752,KRW,rate from 'default'
3,bookshelf,1.0247,36000,1.10,40000,40579,KRW,
4,door,0.0123,0,0.00,0,0,KRW,excluded (non-movable)
5,doorframe,0.0284,0,0.00,0,0,KRW,excluded (non-movable)
6,book,0.0992,15000,1.00,0,1488,KRW,rate from 'default'
0,clothes,0.2302,15000,1.00,0,3453,KRW,rate from 'default'
1,shelf,0.0956,32000,1.05,30000,30000,KRW,
