instance_id,label,volume_m3,rate_per_m3,handling_multiplier,min_charge,line_subtotal,currency,note
0,ceiling,0.4852,0,0.00,0,0,KRW,excluded (non-movable)
1,book,0.1031,15000,1.00,0,1546,KRW,rate from 'default'
2,shelf,0.3756,32000,1.05,30000,30000,KRW,
3,shelf,0.7030,32000,1.05,30000,30000,KRW,
4,ceiling light,0.0074,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
5,stairs,0.3756,0,0.00,0,0,KRW,excluded (non-movable)
6,clothes,0.6370,15000,1.00,0,9556,KRW,rate from 'default'
7,ceiling,0.3948,0,0.00,0,0,KRW,excluded (non-movable)
0,stairs,3.1977,0,0.00,0,0,KRW,excluded (non-movable)
1,curtain,0.4869,18000,1.00,8000,8763,KRW,
0,ceiling,1.1944,0,0.00,0,0,KRW,excluded (non-movable)
1,backpack,0.0558,15000,1.00,0,838,KRW,rate from 'default'
2,stairs,3.0675,0,0.00,0,0,KRW,excluded (non-movable)
3,tv,0.5789,60000,1.30,35000,45154,KRW,
4,stairs,4.6451,0,0.00,0,0,KRW,excluded (non-movable)
5,picture,0.2787,50000,1.40,10000,19511,KRW,
6,shelf,0.4120,32000,1.05,30000,30000,KRW,
7,box,0.1942,25000,1.00,8000,8000,KRW,
8,tube,2.0325,15000,1.00,0,30488,KRW,rate from 'default'
0,ceiling,2.1611,0,0.00,0,0,KRW,excluded (non-movable)
1,shelf,2.0332,32000,1.05,30000,68317,KRW,
2,shelf,1.4828,32000,1.05,30000,49823,KRW,
3,lamp,0.0172,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
4,shelf,2.0620,32000,1.05,30000,69283,KRW,
5,bookshelf,1.9264,36000,1.10,40000,76287,KRW,
6,tv,0.2898,60000,1.30,35000,35000,KRW,
7,stairs,7.1902,0,0.00,0,0,KRW,excluded (non-movable)
8,curtain,1.2489,18000,1.00,8000,22479,KRW,
9,bed,3.2436,38000,1.10,45000,135583,KRW,
10,object,0.1290,15000,1.00,0,1936,KRW,rate from 'default'
0,ceiling,2.3131,0,0.00,0,0,KRW,excluded (non-movable)
1,box,0.0318,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
2,shelf,2.2251,32000,1.05,30000,74762,KRW,
3,stairs,1.6732,0,0.00,0,0,KRW,excluded (non-movable)
4,ceiling,0.8248,0,0.00,0,0,KRW,excluded (non-movable)
5,box,0.0252,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
0,picture,0.0024,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
