instance_id,label,volume_m3,rate_per_m3,handling_multiplier,min_charge,line_subtotal,currency,note
0,ceiling,0.8796,0,0.00,0,0,KRW,excluded (non-movable)
1,ceiling light,0.0189,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
2,window,0.2518,0,0.00,0,0,KRW,excluded (non-movable)
3,pillow,0.0121,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
4,curtain,0.8560,18000,1.00,8000,15408,KRW,
5,clothes,0.0241,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
6,shelf,0.4562,32000,1.05,30000,30000,KRW,
7,shelf,0.3237,32000,1.05,30000,30000,KRW,
8,shelf,1.1992,32000,1.05,30000,40293,KRW,
0,tube,0.0704,15000,1.00,0,1056,KRW,rate from 'default'
1,tube,0.1299,15000,1.00,0,1949,KRW,rate from 'default'
2,object,0.0935,15000,1.00,0,1403,KRW,rate from 'default'
3,tube,0.0356,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
4,tube,0.1422,15000,1.00,0,2134,KRW,rate from 'default'
5,bag,0.0657,15000,1.00,0,985,KRW,rate from 'default'
6,tube,0.1168,15000,1.00,0,1752,KRW,rate from 'default'
0,ceiling,16.8785,0,0.00,0,0,KRW,excluded (non-movable)
1,curtain,0.7676,18000,1.00,8000,13816,KRW,
2,dresser,1.1053,15000,1.00,0,16580,KRW,rate from 'default'
3,bed,13.0892,38000,1.10,45000,547128,KRW,
4,picture,0.0468,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
5,cabinet,2.1624,36000,1.10,40000,85631,KRW,
6,clothes,0.0665,15000,1.00,0,997,KRW,rate from 'default'
0,ceiling,0.2447,0,0.00,0,0,KRW,excluded (non-movable)
1,shelf,0.3568,32000,1.05,30000,30000,KRW,
2,box,0.0066,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
3,picture,0.0044,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
4,window,1.9464,0,0.00,0,0,KRW,excluded (non-movable)
