instance_id,label,volume_m3,rate_per_m3,handling_multiplier,min_charge,line_subtotal,currency,note
0,lamp,0.0291,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
1,ceiling,1.0888,0,0.00,0,0,KRW,excluded (non-movable)
2,curtain,0.2587,18000,1.00,8000,8000,KRW,
3,curtain,1.2049,18000,1.00,8000,21688,KRW,
4,pillow,0.0541,18000,1.00,5000,5000,KRW,
5,pillow,0.0429,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
6,laptop,0.0059,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
7,coffee table,0.5375,15000,1.00,0,8062,KRW,rate from 'default'
8,box,0.3849,25000,1.00,8000,9622,KRW,
9,shelf,0.1131,32000,1.05,30000,30000,KRW,
10,clothes,0.2188,15000,1.00,0,3281,KRW,rate from 'default'
11,tv stand,0.2900,15000,1.00,0,4351,KRW,rate from 'default'
12,cabinet,0.1914,36000,1.10,40000,40000,KRW,
13,couch,3.5468,42000,1.15,55000,171310,KRW,
0,cabinet,0.4435,36000,1.10,40000,40000,KRW,
1,ceiling,0.0017,0,0.00,0,0,KRW,excluded (non-movable)
2,shelf,0.9000,32000,1.05,30000,30241,KRW,
3,object,0.0099,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
4,kitchen cabinet,1.0483,15000,1.00,0,15724,KRW,rate from 'default'
5,object,0.0028,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
0,ceiling,0.6023,0,0.00,0,0,KRW,excluded (non-movable)
1,picture,0.0164,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
2,picture,0.0102,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
3,cabinet,1.1387,36000,1.10,40000,45094,KRW,
4,picture,0.0104,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
5,curtain,0.9683,18000,1.00,8000,17430,KRW,
6,window,0.0654,0,0.00,0,0,KRW,excluded (non-movable)
7,ceiling light,0.0465,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
8,doorframe,0.4037,0,0.00,0,0,KRW,excluded (non-movable)
9,door,0.1575,0,0.00,0,0,KRW,excluded (non-movable)
10,stove,1.0612,15000,1.00,0,15919,KRW,rate from 'default'
11,clothes,0.2384,15000,1.00,0,3576,KRW,rate from 'default'
0,ceiling,0.1706,0,0.00,0,0,KRW,excluded (non-movable)
1,box,0.0489,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
2,doorframe,0.1159,0,0.00,0,0,KRW,excluded (non-movable)
3,shelf,0.2414,32000,1.05,30000,30000,KRW,
4,bag,0.0137,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
5,stairs,0.3597,0,0.00,0,0,KRW,excluded (non-movable)
6,cabinet,0.9258,36000,1.10,40000,40000,KRW,
7,box,0.0321,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
8,bag,0.0660,15000,1.00,0,991,KRW,rate from 'default'
0,pillow,0.0367,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
1,stairs,1.3661,0,0.00,0,0,KRW,excluded (non-movable)
2,couch,1.9956,42000,1.15,55000,96390,KRW,
3,door,0.3473,0,0.00,0,0,KRW,excluded (non-movable)
0,couch,1.4370,42000,1.15,55000,69409,KRW,
1,shelf,0.6713,32000,1.05,30000,30000,KRW,
2,guitar,0.1657,15000,1.00,0,2486,KRW,rate from 'default'
3,computer tower,0.1895,15000,1.00,0,2842,KRW,rate from 'default'
4,box,0.1002,25000,1.00,8000,8000,KRW,
0,tv,0.1756,60000,1.30,35000,35000,KRW,
1,ceiling,0.0404,0,0.00,0,0,KRW,excluded (non-movable)
2,cabinet,0.8786,36000,1.10,40000,40000,KRW,
3,door,0.4503,0,0.00,0,0,KRW,excluded (non-movable)
4,shelf,0.1158,32000,1.05,30000,30000,KRW,
5,stairs,0.2559,0,0.00,0,0,KRW,excluded (non-movable)
6,tube,0.1668,15000,1.00,0,2502,KRW,rate from 'default'
7,shelf,0.3536,32000,1.05,30000,30000,KRW,
8,door,0.0304,0,0.00,0,0,KRW,excluded (non-movable)
0,window,0.1751,0,0.00,0,0,KRW,excluded (non-movable)
1,lamp,0.0155,0,0.00,0,0,KRW,skipped (< 0.05 m^3)
2,window,0.3797,0,0.00,0,0,KRW,excluded (non-movable)
3,bed,1.2034,38000,1.10,45000,50304,KRW,
